Title,Asset Type,Phase,Batch,Scene ID,Character ID,Location ID,Tool,Lifecycle,Review Status,Priority,Article 3 Evidence,Continuity Risk,Motion Ready,Target Freeze,Milestone,Labels,Assignee,Due Date,Complexity,Notes
"[P2][Wardrobe Pack] Create Nadia domestic look wardrobe pack (WD001)","Wardrobe Pack","Phase 2","Batch 01","SC0001|SC0003","C01","","Mixed","Backlog","Pending","P0","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-wardrobe,review-needed,article3-evidence","","2026-04-29","4","Early domestic continuity"
"[P2][Wardrobe Pack] Create Nadia guarded professional look wardrobe pack","Wardrobe Pack","Phase 2","Batch 01","","C01","","Mixed","Backlog","Pending","P1","No","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-wardrobe,review-needed","","2026-04-29","3","Guarded transition look"
"[P2][Wardrobe Pack] Create Roman tailored corporate look wardrobe pack","Wardrobe Pack","Phase 2","Batch 01","","C02","","Mixed","Backlog","Pending","P1","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-wardrobe,review-needed","","2026-04-29","3","Corporate control silhouette"
"[P2][Wardrobe Pack] Create Birta domestic working look wardrobe pack","Wardrobe Pack","Phase 2","Batch 01","","C03","","Mixed","Backlog","Pending","P2","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-wardrobe,review-needed","","2026-04-29","2","Support continuity"
"[P2][Still Set] Generate SC0001 still set","Still Set","Phase 2","Batch 01","SC0001","","LOC001","Mixed","Backlog","Pending","P0","Approved","High","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,asset-still,article3-evidence,continuity-risk,review-needed","","2026-05-02","5","Opening domestic surveillance scene"
"[P2][Still Set] Generate SC0003 still set","Still Set","Phase 2","Batch 01","SC0003","","LOC001","Mixed","Backlog","Pending","P0","Approved","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,asset-still,article3-evidence,review-needed","","2026-05-02","4","Nadia and Jin emotional tension"
"[P2][Still Set] Generate SC0006 still set","Still Set","Phase 2","Batch 01","SC0006","","LOC002","Mixed","Backlog","Pending","P0","Approved","High","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,asset-still,article3-evidence,continuity-risk,review-needed","","2026-05-03","5","Camera discovery and surveillance logic"
"[P2][Still Set] Generate SC0008 still set","Still Set","Phase 2","Batch 01","SC0008","","LOC004","Mixed","Backlog","Pending","P1","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,asset-still,article3-evidence,review-needed","","2026-05-03","4","Roman/Dimitri and Marcus/Nadia tonal split"
"[P2][Still Set] Generate SC0009 still set","Still Set","Phase 2","Batch 01","SC0009","","LOC004","Mixed","Backlog","Pending","P1","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,asset-still,article3-evidence,review-needed","","2026-05-04","4","Intimate aftermath and operational threat"
"[P2][Review] Curate Batch 01 character packs","Character Pack","Phase 2","Batch 01","","","","Manual Review","Backlog","Pending","P0","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,qa,review-needed","","2026-05-05","3","Approve or reject reference packs"
"[P2][Review] Curate Batch 01 location sheets","Location Sheet","Phase 2","Batch 01","","","","Manual Review","Backlog","Pending","P0","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,qa,review-needed","","2026-05-05","3","Approve or reject location sheets"
"[P2][Review] Curate Batch 01 scene stills","Still Set","Phase 2","Batch 01","","","","Manual Review","Backlog","Pending","P0","Approved","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Scene Stills","phase-2,qa,article3-evidence,review-needed","","2026-05-06","4","Select approved stills and evidence candidates"
"[P2][Motion Prep] Prepare SC0001 motion-ready frame pairs","Motion Pair","Phase 2","Batch 01","SC0001","","LOC001","Mixed","Backlog","Pending","P1","Candidate","Medium","Paired","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,phase-2-motion-prep,asset-motion-pair,article3-evidence,review-needed","","2026-05-08","4","Start/end pair for domestic tension"
"[P2][Motion Prep] Prepare SC0003 motion-ready frame pairs","Motion Pair","Phase 2","Batch 01","SC0003","","LOC001","Mixed","Backlog","Pending","P1","Candidate","Medium","Paired","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,phase-2-motion-prep,asset-motion-pair,article3-evidence,review-needed","","2026-05-08","4","Start/end pair for emotional restraint"
"[P2][Motion Prep] Prepare SC0006 motion-ready frame pairs","Motion Pair","Phase 2","Batch 01","SC0006","","LOC002","Mixed","Backlog","Pending","P0","Approved","High","Paired","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,phase-2-motion-prep,asset-motion-pair,article3-evidence,continuity-risk,review-needed","","2026-05-09","5","Start/end pair for surveillance reveal"
"[P2][Motion Prep] Prepare SC0008 motion-ready frame pairs","Motion Pair","Phase 2","Batch 01","SC0008","","LOC004","Mixed","Backlog","Pending","P1","Candidate","Medium","Paired","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,phase-2-motion-prep,asset-motion-pair,article3-evidence,review-needed","","2026-05-09","4","Start/end pair for tonal split"
"[P2][Motion Prep] Prepare SC0009 motion-ready frame pairs","Motion Pair","Phase 2","Batch 01","SC0009","","LOC004","Mixed","Backlog","Pending","P1","Candidate","Medium","Paired","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,phase-2-motion-prep,asset-motion-pair,article3-evidence,review-needed","","2026-05-10","4","Start/end pair for threat transition"
"[P2][Evidence] Prepare Batch 01 Article 3 panel set","Evidence Panel","Phase 2","Batch 01","","","","Manual Review","Backlog","Pending","P0","Approved","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Motion Prep","phase-2,asset-evidence,article3-evidence,review-needed","","2026-05-11","4","Prompt-to-still and still-to-motion panel set"
"[P2][Freeze] Freeze visual-z1p2-batch1-r1","Evidence Panel","Phase 2","Batch 01","","","","Manual Review","Backlog","Pending","P0","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Freeze","phase-2,freeze-candidate,pipeline,review-needed","","2026-05-12","5","Freeze approved assets, logs, and manifests"
